iter	Logloss
0	0.6830964293
1	0.6681314747
2	0.6552762592
3	0.6455360041
4	0.6313579159
5	0.6205980079
6	0.6086574366
7	0.5992358375
8	0.5908162998
9	0.5819302613
10	0.5691186543
11	0.5614146862
12	0.5543722357
13	0.545592685
14	0.5367545953
15	0.5299223166
16	0.5225472165
17	0.5141247498
18	0.5077685409
19	0.5005986154
20	0.4924214564
21	0.486140745
22	0.475453868
23	0.4687748917
24	0.4594059938
25	0.4514234085
26	0.443267253
27	0.4348546441
28	0.4253217264
29	0.418915453
30	0.4129697832
31	0.4049755083
32	0.4000737604
33	0.3913246051
34	0.385645902
35	0.3792616314
36	0.3714307764
37	0.3656528587
38	0.3585253366
39	0.3540956988
40	0.3464099517
41	0.3421631799
42	0.3347511328
43	0.3294138564
44	0.3244713952
45	0.3194368486
46	0.315664497
47	0.311267493
48	0.3061923462
49	0.3018426341
50	0.2967388998
51	0.2903914878
52	0.285776097
53	0.2809035588
54	0.2775835729
55	0.2729666798
56	0.2671806624
57	0.2632973773
58	0.259650402
59	0.2562591606
60	0.2529161536
61	0.249590153
62	0.2467952395
63	0.2439995343
64	0.2410681121
65	0.2380716978
66	0.2344872347
67	0.2298632448
68	0.2265115665
69	0.2237203402
70	0.2196895112
71	0.2166480402
72	0.2132974914
73	0.2089107226
74	0.2067243398
75	0.2033174736
76	0.1993058485
77	0.1970780069
78	0.1942361687
79	0.1916215689
80	0.1889107773
81	0.1858967437
82	0.1835196708
83	0.1814472823
84	0.1792031704
85	0.1765658549
86	0.1741663941
87	0.1716699643
88	0.1696387012
89	0.1676246736
90	0.1662449372
91	0.1645707228
92	0.1618034327
93	0.1597598299
94	0.156998946
95	0.1542395116
96	0.1523588115
97	0.149944306
98	0.1477994466
99	0.1455512864
100	0.1436473489
101	0.1419436084
102	0.1395005815
103	0.1371234854
104	0.1356374484
105	0.133865034
106	0.1326958909
107	0.1313987831
108	0.1299596019
109	0.1278139595
110	0.1260230152
111	0.1245952539
112	0.1230739908
113	0.121682671
114	0.1207219206
115	0.1191089508
116	0.1168919571
117	0.1151652395
118	0.1135081303
119	0.1121833484
120	0.1112197684
121	0.1092630795
122	0.1082132012
123	0.1072088368
124	0.1060724101
125	0.1050237017
126	0.1040408126
127	0.102946984
128	0.101749039
129	0.1008285797
130	0.09942558346
131	0.0976429465
132	0.09646422316
133	0.09564488242
134	0.09479788859
135	0.09311740719
136	0.09223613017
137	0.09091870163
138	0.09013985062
139	0.08933418996
140	0.08842542282
141	0.08739765241
142	0.08634309257
143	0.08484304994
144	0.08397365261
145	0.08285643698
146	0.08212448579
147	0.08090877201
148	0.08004767334
149	0.07922045746
150	0.07828915262
151	0.07738453824
152	0.07646632463
153	0.07517568974
154	0.07461887588
155	0.073921292
156	0.07327730944
157	0.07251645902
158	0.07194536954
159	0.07133253333
160	0.07078933468
161	0.07017201592
162	0.06901303935
163	0.06858414042
164	0.06777947621
165	0.06666929565
166	0.06604233966
167	0.06527363404
168	0.0649346093
169	0.06447262874
170	0.06387982965
171	0.06284852721
172	0.06229004144
173	0.06186306512
174	0.06124898846
175	0.06074675382
176	0.05996693465
177	0.05945660851
178	0.05870812245
179	0.05807062778
180	0.05715733812
181	0.056309161
182	0.05559952738
183	0.05500168763
184	0.05415010893
185	0.0537797505
186	0.05339206204
187	0.05308150435
188	0.05280966778
189	0.05242792674
190	0.05180955555
191	0.0514392213
192	0.05111941478
193	0.05074450754
194	0.04997544768
195	0.04958722115
196	0.04909665008
