iter	Passed	Remaining
443	1230	1541
444	1233	1538
445	1235	1534
446	1238	1532
447	1241	1529
448	1243	1525
449	1246	1523
450	1250	1521
451	1253	1519
452	1256	1516
453	1258	1513
454	1261	1511
455	1265	1509
456	1268	1507
457	1270	1503
458	1273	1500
459	1275	1497
460	1278	1494
461	1281	1492
462	1283	1488
463	1286	1486
464	1290	1484
465	1292	1481
466	1296	1479
467	1298	1475
468	1301	1473
469	1303	1469
470	1306	1467
471	1308	1464
472	1310	1460
473	1312	1456
474	1315	1454
475	1318	1451
476	1320	1447
477	1322	1443
478	1325	1441
479	1328	1438
480	1331	1436
481	1333	1433
482	1336	1431
483	1339	1428
484	1342	1425
485	1344	1421
486	1346	1417
487	1347	1413
488	1350	1411
489	1352	1407
490	1354	1404
491	1357	1402
492	1360	1399
493	1363	1396
494	1366	1393
495	1369	1391
496	1372	1388
497	1375	1386
498	1377	1382
499	1378	1378
500	1381	1375
501	1383	1372
502	1385	1368
503	1388	1366
504	1391	1363
505	1393	1360
506	1395	1357
507	1398	1354
508	1401	1351
509	1404	1349
510	1406	1345
511	1408	1342
512	1411	1339
513	1412	1335
514	1414	1332
515	1417	1329
516	1420	1327
517	1423	1324
518	1424	1320
519	1427	1317
520	1430	1314
521	1431	1311
522	1434	1308
523	1437	1305
524	1439	1302
525	1442	1300
526	1445	1297
527	1448	1294
528	1450	1291
529	1453	1288
530	1455	1285
531	1457	1282
532	1460	1279
533	1463	1276
534	1466	1274
535	1468	1271
536	1471	1268
537	1474	1265
538	1476	1263
539	1478	1259
540	1480	1256
541	1483	1253
542	1486	1250
543	1489	1248
544	1491	1245
545	1494	1242
546	1495	1238
547	1497	1235
548	1500	1233
549	1502	1229
550	1505	1226
551	1508	1224
552	1511	1221
553	1512	1218
554	1516	1215
555	1518	1212
556	1520	1209
557	1523	1206
558	1525	1203
559	1528	1200
560	1531	1198
561	1533	1195
562	1535	1191
563	1538	1189
564	1541	1186
565	1544	1184
566	1547	1181
567	1549	1178
568	1552	1175
569	1554	1172
570	1557	1169
571	1559	1166
572	1562	1164
573	1565	1161
574	1567	1158
575	1570	1156
576	1572	1152
577	1574	1149
578	1576	1146
579	1579	1143
580	1581	1140
581	1583	1137
582	1586	1134
583	1589	1132
584	1592	1129
585	1595	1127
586	1597	1123
587	1600	1121
588	1601	1117
589	1603	1114
590	1605	1111
591	1607	1108
592	1610	1105
593	1612	1102
594	1615	1099
595	1618	1097
596	1622	1095
597	1626	1093
598	1629	1091
599	1632	1088
600	1635	1085
601	1637	1082
602	1640	1079
603	1643	1077
604	1645	1074
605	1648	1071
606	1651	1069
607	1654	1066
608	1656	1063
609	1659	1060
610	1660	1057
611	1663	1054
612	1665	1051
613	1668	1048
614	1671	1046
615	1673	1043
616	1675	1039
617	1677	1037
618	1680	1034
619	1683	1031
620	1686	1029
621	1688	1026
622	1691	1023
623	1694	1021
624	1697	1018
625	1699	1015
626	1702	1012
