iter	Logloss
0	0.6808558958
1	0.6693198622
2	0.658080786
3	0.6473714231
4	0.6371210491
5	0.6272897477
6	0.6174319879
7	0.6081640553
8	0.5990770468
9	0.5901732243
10	0.5818032189
11	0.5736012194
12	0.5658814023
13	0.5587343985
14	0.5519859361
15	0.5454388996
16	0.5388842855
17	0.5328059071
18	0.5268267932
19	0.5212447766
20	0.5158334222
21	0.5105939077
22	0.5052501409
23	0.5002728929
24	0.4955128373
25	0.4906992557
26	0.4863940434
27	0.4820044439
28	0.477921148
29	0.4741082024
30	0.4704447816
31	0.4667579558
32	0.4631959428
33	0.4598277311
34	0.4564947716
35	0.4533150891
36	0.4504171416
37	0.4473610717
38	0.4445053805
39	0.4418936181
40	0.4392541561
41	0.4365747734
42	0.4342052126
43	0.4319141442
44	0.4297358623
45	0.4275871815
46	0.42550584
47	0.4232777604
48	0.4214018608
49	0.4193233297
50	0.4174153783
51	0.4156504413
52	0.4139352954
53	0.4122085118
54	0.4107426227
55	0.4092527282
56	0.4077153565
57	0.406181747
58	0.4046056066
59	0.4031965992
60	0.4016227811
61	0.4002170473
62	0.3988967614
63	0.3975909858
64	0.3965104898
65	0.3953792425
66	0.3941510219
67	0.3930456248
68	0.3918804284
69	0.3907437324
70	0.389709746
71	0.388853896
72	0.3875911343
73	0.386714005
74	0.3858894055
75	0.3849161555
76	0.3839568589
77	0.3831275336
78	0.382235202
79	0.3813879651
80	0.3807243651
81	0.3799907563
82	0.3791552074
83	0.3784018644
84	0.3776222093
85	0.3769261897
86	0.3761618838
87	0.3755094395
88	0.3748646482
89	0.37428753
90	0.3736183465
91	0.372898125
92	0.3722319926
93	0.3716469615
94	0.3709679867
95	0.370394821
96	0.3697655226
97	0.3691101351
98	0.3686411825
99	0.3680994103
100	0.367483248
101	0.3669391771
102	0.3664554156
103	0.3659669886
104	0.3654703162
105	0.3648215784
106	0.3644189033
107	0.363978081
108	0.3633957987
109	0.3629996829
110	0.3624751282
111	0.3618074103
112	0.3610968686
113	0.3606197292
114	0.3601320703
115	0.3596600768
116	0.3590445309
117	0.3585219735
118	0.3580666281
119	0.3577538732
120	0.3573524664
121	0.3570339718
122	0.3566024813
123	0.3562782333
124	0.3557414972
125	0.3552995109
126	0.3549254216
127	0.3545200492
128	0.354022163
129	0.35339794
130	0.3530008727
131	0.3524943684
132	0.3521803007
133	0.3518194973
134	0.35148585
135	0.3511337786
136	0.3506450737
137	0.3502708661
138	0.3499360028
139	0.3496719317
140	0.3493655543
141	0.3490931354
142	0.3487621867
143	0.3485224522
144	0.348130513
145	0.3478531594
146	0.347473723
147	0.3472383863
148	0.3467819577
149	0.3462828362
150	0.3459346253
151	0.3456912616
152	0.3453469815
153	0.34500683
154	0.3446013089
155	0.3443197432
156	0.344059884
157	0.3436229134
158	0.3431938483
159	0.3427710959
160	0.3425238254
161	0.3419977486
162	0.3416242671
163	0.3412100147
164	0.3408955368
165	0.3405424412
166	0.3401471296
167	0.3397437618
168	0.3394210825
169	0.3390854171
170	0.3386881629
171	0.3384829137
172	0.3381379165
173	0.3379198467
174	0.3376334232
175	0.3373400664
176	0.3369178107
177	0.3366079283
178	0.336390593
179	0.3360248702
180	0.3356489078
181	0.3353560106
182	0.3351131226
183	0.3347738977
184	0.3344147992
185	0.3342447325
186	0.3338478657
187	0.3336074726
188	0.3332831776
189	0.3329612671
190	0.3324256996
191	0.3321886634
192	0.3318274811
193	0.3314475957
194	0.3310376297
195	0.3306875035
196	0.330365099
197	0.330082121
198	0.3296738714
199	0.3293301097
200	0.3289328704
201	0.3285826101
202	0.3283130205
203	0.3280703607
204	0.3277337361
205	0.3274590053
206	0.327252912
207	0.3269082478
208	0.3266637055
209	0.3263051357
210	0.3259644019
211	0.3255039996
212	0.3251298934
213	0.3248096252
214	0.3246131172
215	0.3244458411
216	0.3241561868
217	0.323912473
218	0.3235838343
219	0.3231614263
220	0.3227425661
221	0.3225705953
222	0.3223324358
223	0.3219668409
224	0.3217008488
225	0.3214431473
226	0.3211317266
227	0.3207159928
228	0.3204236205
229	0.3202801261
230	0.3200228888
231	0.3195736817
232	0.3193688589
233	0.3190589184
234	0.3186369701
235	0.3181860329
236	0.3178114199
237	0.3174572345
238	0.3172158264
239	0.3170011273
240	0.3168178458
241	0.3165293271
242	0.3161451781
243	0.3158648729
244	0.3155875959
245	0.3152851913
246	0.315010472
247	0.3147641998
248	0.3144171981
249	0.3141830566
250	0.3136632425
251	0.3134368858
252	0.3132089271
253	0.3128879799
254	0.3124578884
255	0.3121678915
256	0.3118261498
257	0.3114884146
258	0.3112567632
259	0.311024466
260	0.310733613
261	0.310456985
262	0.3101506745
263	0.3098886128
264	0.3094539144
265	0.3091209709
266	0.3087388897
267	0.3084318301
268	0.3082411502
269	0.3078897984
270	0.3073480712
271	0.3070716168
272	0.3066409878
273	0.3063894076
274	0.306077204
275	0.3058071166
276	0.3054914931
277	0.3051721386
278	0.3050126309
279	0.3047049732
280	0.3042012935
281	0.3039820883
282	0.3036483145
283	0.3034341024
284	0.3031537393
285	0.3028414243
286	0.3024967854
287	0.3023055935
288	0.301970829
289	0.3017589927
290	0.3014661726
291	0.3011235493
292	0.3007255235
293	0.3003089182
294	0.29991343
295	0.2997493875
296	0.2995057755
297	0.299289989
298	0.2991208489
299	0.298858193
300	0.2986679972
301	0.2983872137
302	0.2979946274
303	0.2978263034
304	0.297598833
305	0.2974102648
306	0.2971212936
307	0.2968423679
308	0.296509
309	0.2963053293
310	0.296151363
311	0.2960187591
312	0.2956795145
313	0.2954166273
314	0.295097117
315	0.2948821649
316	0.2944987983
317	0.2940351468
318	0.2938463643
319	0.2934358847
320	0.2931272154
321	0.2928115175
322	0.2924009178
323	0.2920908736
324	0.2918226157
325	0.2915564439
326	0.2913147041
327	0.2909889236
328	0.2906789219
329	0.2905530128
330	0.290185448
331	0.289854946
332	0.2896120027
333	0.2893366637
334	0.2890662445
335	0.2887206091
336	0.2884076047
337	0.2881152472
338	0.2876686077
339	0.2873265311
340	0.2870641487
341	0.286727135
342	0.2864395433
343	0.2862491565
344	0.2859847817
345	0.2856756362
346	0.2853244164
347	0.285031974
348	0.2846929359
349	0.2843401775
350	0.2840045975
351	0.283746383
352	0.283514863
353	0.2831518007
354	0.2828831871
355	0.2825143057
356	0.2822356125
357	0.281909289
358	0.2814877143
359	0.2812345321
360	0.2809887592
361	0.2807137015
362	0.2805215252
363	0.2802186624
364	0.2799813314
365	0.2796971108
366	0.2794551428
367	0.2791268968
368	0.2787684769
369	0.2785175125
370	0.2782203027
371	0.2779801517
372	0.2777153556
373	0.277401128
374	0.2770064503
375	0.2766057851
376	0.2763334744
377	0.2758764873
378	0.2756787565
379	0.2753145416
380	0.2749885391
381	0.2747104852
382	0.2744113701
383	0.274227879
384	0.2738578981
385	0.2734886685
386	0.2731380906
387	0.2729990735
388	0.2726780508
389	0.27232055
390	0.2720481386
391	0.2718563537
392	0.2716835184
393	0.2713971761
394	0.2711565854
395	0.2708154924
396	0.2705557495
397	0.2704163389
398	0.2700602189
399	0.2698297253
400	0.2696223007
401	0.2693943263
402	0.2691980742
403	0.2690045329
404	0.2688601496
405	0.2686349003
406	0.2684134066
407	0.268076199
408	0.2679037599
409	0.2676601043
410	0.2674994015
411	0.267216247
412	0.2668485649
413	0.2666111349
414	0.2662148601
415	0.2659313982
416	0.2656563383
417	0.2653133873
418	0.2650399078
419	0.2647221882
420	0.2643988428
421	0.2641364353
422	0.2639185566
423	0.2637672259
424	0.2635067688
425	0.2632575862
426	0.2629741841
427	0.2625992504
428	0.2622878602
429	0.2619898825
430	0.2618423471
431	0.2615929609
432	0.2612694061
433	0.2611004869
434	0.2609104076
435	0.2606285579
436	0.2603793601
437	0.260189045
438	0.2598578412
439	0.2596139321
440	0.2593444423
441	0.2590571627
442	0.2586438557
443	0.2584128231
444	0.258195981
445	0.2579980532
446	0.2578041738
447	0.2575065507
448	0.2572332334
449	0.2569640921
450	0.256695266
451	0.2564885807
452	0.2562688737
453	0.2560451583
454	0.2556897664
455	0.2554188288
456	0.2550962276
457	0.2548846034
458	0.2544834365
459	0.254124604
460	0.2538931143
461	0.2536225424
462	0.2533875475
463	0.253230767
464	0.2529994519
465	0.2527019241
466	0.2524544711
467	0.2521511568
468	0.2518206119
469	0.2513251439
470	0.2508807241
471	0.250479051
472	0.2500923236
473	0.2498166648
474	0.2495751915
475	0.2493284223
476	0.249065248
477	0.2487994068
478	0.2485430651
479	0.2482748014
480	0.2480943101
481	0.2477664078
482	0.2474957671
483	0.2471418887
484	0.2470038949
485	0.2466347327
486	0.246179169
487	0.246018806
488	0.2457749123
489	0.2454412492
490	0.2452272554
491	0.2450324865
492	0.2447679752
493	0.2444187364
494	0.2442508327
495	0.2439943863
496	0.2437179251
497	0.243467296
498	0.2431262166
499	0.2428768883
500	0.2426499971
501	0.2423724469
502	0.2422532184
503	0.2419713821
504	0.2415268753
505	0.2413555523
506	0.2410880304
507	0.2407494492
508	0.2404375567
509	0.2399930541
510	0.2396763115
511	0.239516176
512	0.2391784697
513	0.2389521585
514	0.2386283408
515	0.2382758343
516	0.2380003121
517	0.2375676821
518	0.2373440672
519	0.2371906663
520	0.2368908817
521	0.2366315971
522	0.2363380655
